_id,№,地方公共団体コード,団体名,郵便番号,所在地,電話番号,ＦＡＸ
1,1,052019,秋田市,010-8560,秋田市山王１－１－１,018-863-2222,018-863-7284
2,2,052027,能代市,016-8501,能代市上町１－３,0185-52-2111,0185-89-1762
3,3,052035,横手市,013-8601,横手市中央町８－２,0182-35-2111,0182-35-2221
4,4,052043,大館市,017-8555,大館市字中城２０,0186-49-3111,0186-49-1198
5,5,052060,男鹿市,010-0595,男鹿市船川港船川字泉台６６－１,0185-23-2111,0185-23-2424
6,6,052078,湯沢市,012-8501,湯沢市佐竹町１－１,0183-73-2111,0183-73-2117
7,7,052094,鹿角市,018-5292,鹿角市花輪字荒田４－１,0186-30-0203,0186-30-1122
8,8,052108,由利本荘市,015-8501,由利本荘市尾崎１７,0184-24-3321,0184-23-3226
9,9,052116,潟上市,010-0201,潟上市天王字棒沼台２２６－１,018-853-5301,018-853-5211
10,10,052124,大仙市,014-8601,大仙市大曲花園町１－１,0187-63-1111,0187-63-1119
11,11,052132,北秋田市,018-3392,北秋田市花園町１９－１,0186-62-1111,0186-63-2586
12,12,052141,にかほ市,018-0192,にかほ市象潟町字浜ノ田１,0184-43-3200,0184-43-5707
13,13,052159,仙北市,014-1298,仙北市田沢湖生保内字宮ノ後３０,0187-43-1111,0187-43-1300
14,14,053031,小坂町,017-0292,鹿角郡小坂町小坂字上谷地４１－１,0186-29-3901,0186-29-5481
15,15,053279,上小阿仁村,018-4494,北秋田郡上小阿仁村小沢田字向川原１１８,0186-77-2221,0186-77-2227
16,16,053465,藤里町,018-3201,山本郡藤里町藤琴字藤琴８,0185-79-2111,0185-79-2116
17,17,053481,三種町,018-2401,山本郡三種町鵜川字岩谷子８,0185-85-2111,0185-85-2178
18,18,053490,八峰町,018-2502,山本郡八峰町峰浜目名潟字目長田118,0185-76-2111,0185-76-2113
19,19,053619,五城目町,018-1792,南秋田郡五城目町西磯ノ目１－１－１,018-852-5100,018-852-3151
20,20,053635,八郎潟町,018-1692,南秋田郡八郎潟町字大道８０,018-875-5800,018-875-3096
21,21,053660,井川町,018-1596,南秋田郡井川町北川尻字海老沢樋ノ口７８－１,018-874-4411,018-874-2600
22,22,053686,大潟村,010-0494,南秋田郡大潟村字中央１－１,0185-45-2111,0185-45-2162
23,23,054348,美郷町,019-1541,仙北郡美郷町土崎字上野乙１７０－１０,0187-84-1111,0187-85-2107
24,24,054631,羽後町,012-1131,雄勝郡羽後町西馬音内字中野１７７,0183-62-2111,0183-62-2120
25,25,054640,東成瀬村,019-0801,雄勝郡東成瀬村田子内字仙人下３０－１,0182-47-3401,0182-47-3260
